,id,symbol,name,image,current_price,market_cap,market_cap_rank,fully_diluted_valuation,total_volume,high_24h,low_24h,price_change_24h,price_change_percentage_24h,market_cap_change_24h,market_cap_change_percentage_24h,circulating_supply,total_supply,max_supply,ath,ath_change_percentage,ath_date,atl,atl_change_percentage,atl_date,roi,last_updated
34,fantom,ftm,Fantom,https://assets.coingecko.com/coins/images/4001/large/Fantom.png?1558015016,2.14,5423607319.0,35.0,6776433792.0,667429279.0,2.25,2.07,-0.010060774606,-0.46892,-57509066.94905949,-1.04922,2541152731.01,3175000000.0,3175000000.0,2.44,-12.66222,2021-10-08T22:00:15.605Z,0.00190227,111927.38927,2020-03-13T02:25:38.280Z,"{'times': 70.18179634434937, 'currency': 'usd', 'percentage': 7018.179634434937}",2021-10-10T20:14:09.197Z
35,hedera-hashgraph,hbar,Hedera,https://assets.coingecko.com/coins/images/3688/large/mqTDGK7Q.png?1566256777,0.35741,5299013517.0,36.0,,88628591.0,0.374048,0.35482,-0.0084825746,-2.31832,-168919228.65532875,-3.08927,14832756234.0,50000000000.0,,0.569229,-37.21512,2021-09-15T10:40:28.318Z,0.00986111,3524.23403,2020-01-02T17:30:24.852Z,,2021-10-10T20:14:41.513Z
36,monero,xmr,Monero,https://assets.coingecko.com/coins/images/69/large/monero_logo.png?1547033729,278.87,5022426451.0,37.0,,170164195.0,282.76,273.69,3.49,1.26805,39383066.0,0.79034,18008791.6314326,,,542.33,-48.51058,2018-01-09T00:00:00.000Z,0.216177,129072.24369,2015-01-14T00:00:00.000Z,,2021-10-10T20:14:29.003Z
37,elrond-erd-2,egld,Elrond,https://assets.coingecko.com/coins/images/12335/large/elrond3_360.png?1626341589,248.92,4945938639.0,38.0,,88521321.0,259.96,246.18,-7.476687918948,-2.91606,-188305820.26065636,-3.66764,19881880.0,20397843.0,,300.56,-17.27181,2021-09-14T15:09:24.537Z,6.51,3721.44531,2020-10-07T01:44:53.554Z,,2021-10-10T20:14:38.991Z
38,crypto-com-chain,cro,Crypto.com Coin,https://assets.coingecko.com/coins/images/7310/large/cypto.png?1547043960,0.192174,4846078560.0,39.0,,47498851.0,0.194396,0.189678,0.00161475,0.84737,25748596.0,0.53417,25263013692.0,30263013692.0,,0.27702,-30.80771,2021-02-22T11:33:57.751Z,0.0121196,1481.5417,2019-02-08T00:00:00.000Z,,2021-10-10T20:14:07.544Z
39,staked-ether,steth,Lido Staked Ether,https://assets.coingecko.com/coins/images/13442/large/steth_logo.png?1608607546,3500.34,4832482359.0,40.0,4832482359.0,5508819.0,3576.58,3482.63,-64.280646787245,-1.80329,-80462460.50107098,-1.63776,1380573.78070832,1380573.78070832,1380573.78070832,4309.29,-18.77215,2021-05-12T09:57:17.253Z,482.9,624.86479,2020-12-22T04:08:21.854Z,,2021-10-10T20:01:04.568Z
40,eos,eos,EOS,https://assets.coingecko.com/coins/images/738/large/eos-eos-logo.png?1547034481,4.77,4623678559.0,41.0,,1351642629.0,5.01,4.75,-0.166458995796,-3.37283,-187827710.55012035,-3.90372,970073553.2918,,,22.71,-78.99928,2018-04-29T07:50:33.540Z,0.5024,849.34951,2017-10-23T00:00:00.000Z,"{'times': 3.81700637988699, 'currency': 'usd', 'percentage': 381.700637988699}",2021-10-10T20:14:28.749Z
41,okb,okb,OKB,https://assets.coingecko.com/coins/images/4463/large/okb_token.png?1548386209,17.03,4512331258.0,42.0,,259960502.0,17.83,16.99,-0.339727130367,-1.9555,-126910550.1872158,-2.73559,265115438.19,300000000.0,,44.01,-61.34929,2021-05-03T01:03:16.108Z,0.580608,2829.40534,2019-01-14T00:00:00.000Z,,2021-10-10T20:14:08.035Z
42,klay-token,klay,Klaytn,https://assets.coingecko.com/coins/images/9672/large/CjbT82vP_400x400.jpg?1570548320,1.78,4479744089.0,43.0,,256236198.0,2.01,1.75,-0.073147798384,-3.94681,-231947866.68719387,-4.92281,2511843410.0,,,4.34,-58.93493,2021-03-30T03:44:28.828Z,0.06044,2848.03115,2020-04-29T08:19:34.574Z,,2021-10-10T20:14:40.202Z
43,pancakeswap-token,cake,PancakeSwap,https://assets.coingecko.com/coins/images/12632/large/pancakeswap-cake-logo_%281%29.png?1629359065,19.1,4404179475.0,44.0,,155915087.0,19.76,19.01,-0.415659058093,-2.12984,-114330093.42815685,-2.53026,230659349.88386,,,43.96,-56.66853,2021-04-30T10:08:22.934Z,0.194441,9697.60155,2020-11-03T14:29:34.165Z,,2021-10-10T20:14:06.865Z
44,ecash,xec,eCash,https://assets.coingecko.com/coins/images/16646/large/Logo_final-22.png?1628239446,0.00022122,4172668323.0,45.0,,40765640.0,0.00022443,0.00021975,-1.72552e-07,-0.07794,-13842754.930269718,-0.33065,18866152146789.4,21000000000000.0,,0.00038001,-41.95663,2021-09-04T17:09:31.137Z,1.847e-05,1094.22612,2021-07-20T20:49:46.212Z,,2021-10-10T20:14:33.859Z
45,quant-network,qnt,Quant,https://assets.coingecko.com/coins/images/3370/large/5ZOu7brX_400x400.jpg?1612437252,304.76,4066316261.0,46.0,4442222070.0,64842899.0,307.49,296.37,6.47,2.16979,59071556.0,1.47412,13375967.469289193,14612493.0,14612493.0,427.42,-28.78645,2021-09-11T09:15:00.668Z,0.215773,140965.93778,2018-08-23T00:00:00.000Z,"{'times': 36.000516537259756, 'currency': 'eth', 'percentage': 3600.0516537259755}",2021-10-10T20:14:38.719Z
46,aave,aave,Aave,https://assets.coingecko.com/coins/images/12645/large/AAVE.png?1601374110,299.31,3949497078.0,47.0,4788398488.0,136093539.0,308.8,296.98,-6.280495752216,-2.05518,-103911621.47941256,-2.56356,13196886.891606444,16000000.0,16000000.0,661.69,-54.75672,2021-05-18T21:19:59.514Z,26.02,1050.39993,2020-11-05T09:20:11.928Z,,2021-10-10T20:14:30.117Z
47,iota,miota,IOTA,https://assets.coingecko.com/coins/images/692/large/IOTA_Swirl.png?1604238557,1.43,3942564319.0,48.0,,273950534.0,1.52,1.36,0.075157,5.53871,131911451.0,3.46165,2779530283.277761,2779530283.0,,5.25,-72.94321,2017-12-19T00:00:00.000Z,0.081637,1639.5845,2020-03-13T02:22:41.168Z,"{'times': 18.201839422224246, 'currency': 'btc', 'percentage': 1820.1839422224245}",2021-10-10T20:14:03.802Z
48,near,near,Near,https://assets.coingecko.com/coins/images/10365/large/near_icon.png?1601359077,7.6,3629822349.0,49.0,7609456185.0,144000070.0,8.06,7.57,-0.33695474657,-4.24745,-169840868.38499784,-4.46989,477014685.482884,1000000000.0,1000000000.0,11.84,-35.803,2021-09-09T08:18:37.175Z,0.526762,1342.51682,2020-11-04T16:09:15.137Z,,2021-10-10T20:14:48.728Z
49,bitcoin-cash-abc-2,bcha,Bitcoin Cash ABC,https://assets.coingecko.com/coins/images/13120/large/Logo_final-21.png?1624892810,187.88,3530976861.0,50.0,,35839.0,196.47,187.64,-3.746201699845,-1.95498,-37046793.21399355,-1.0383,18794058.3967894,21000000.0,,378.12,-50.32858,2021-09-04T17:15:31.514Z,9.21,1939.31093,2020-11-15T18:28:32.658Z,,2021-10-10T20:09:09.578Z
50,the-graph,grt,The Graph,https://assets.coingecko.com/coins/images/13397/large/Graph_Token.png?1608145566,0.709464,3514551352.0,51.0,7090298744.0,77656943.0,0.749183,0.707347,-0.012729813087,-1.76266,-74359462.69684601,-2.07192,4956845231.0,10000000000.0,10000000000.0,2.84,-74.99728,2021-02-12T07:28:45.775Z,0.103254,588.06171,2020-12-17T21:28:41.332Z,,2021-10-10T20:14:51.494Z
