id,name,current_price,total_volume,market_cap,last_updated
everipedia,Everipedia,0.01851248,77380637.0,184188798.0,2021-10-12T10:30:01.055Z
storj,Storj,1.25,47211245.0,181672694.0,2021-10-12T10:29:55.739Z
escoin-token,Escoin Token,2.66,124802.0,179627993.0,2021-10-12T10:24:36.517Z
proton,Proton,0.02214392,19198287.0,179328396.0,2021-10-12T10:30:10.030Z
tomochain,TomoChain,2.05,5977177.0,178453946.0,2021-10-12T10:30:07.958Z
nusd,sUSD,1.0,5124424.0,177013471.0,2021-10-12T10:29:31.808Z
aurora-dao,IDEX,0.297112,33650059.0,176826411.0,2021-10-12T10:29:26.485Z
noia-network,Syntropy,0.368107,1007039.0,176718421.0,2021-10-12T10:26:17.733Z
math,MATH,1.26,1040299.0,175705258.0,2021-10-12T10:29:02.462Z
chromaway,Chromia,0.308882,23328352.0,175064528.0,2021-10-12T10:29:49.083Z
artery,Artery,1.41,216649.0,172792405.0,2021-10-12T10:29:45.544Z
star-atlas-dao,Star Atlas DAO,7.94,10034111.0,171094021.0,2021-10-12T10:29:26.535Z
gmx,GMX,25.5,4813.85,170975713.0,2021-10-12T06:46:12.051Z
stp-network,STP Network,0.138926,513927991.0,170231120.0,2021-10-12T10:29:57.143Z
wanchain,Wanchain,0.86585,9037752.0,169161584.0,2021-10-12T10:27:29.527Z
wrapped-centrifuge,Wrapped Centrifuge,1.53,9393142.0,168725615.0,2021-10-12T10:30:23.502Z
metadium,Metadium,0.102728,22321715.0,168295405.0,2021-10-12T10:30:09.891Z
compound-uniswap,cUNI,0.455693,137237.0,167084244.0,2021-10-12T10:28:32.792Z
