id,name,current_price,total_volume,market_cap,last_updated
asd,AscendEx Token,0.418991,5220010.0,311471906.0,2021-10-13T23:31:03.188Z
singularitynet,SingularityNET,0.320109,3122109.0,310749084.0,2021-10-13T23:31:32.219Z
unibright,Unibright,2.07,1467127.0,310337676.0,2021-10-13T23:34:56.695Z
aelf,aelf,0.670479,16868524.0,309368474.0,2021-10-13T23:36:40.398Z
mask-network,Mask Network,9.25,42134524.0,308577964.0,2021-10-13T23:35:55.126Z
chia,Chia,154.94,25932532.0,308191050.0,2021-10-13T23:35:57.299Z
alchemix,Alchemix,411.86,19456490.0,307943928.0,2021-10-13T23:36:11.673Z
bonfida,Bonfida,6.23,1791212.0,306024709.0,2021-10-13T23:36:54.432Z
storm,StormX,0.03293471,11188101.0,305690051.0,2021-10-13T23:36:01.380Z
reef-finance,Reef Finance,0.02206551,61108842.0,305030659.0,2021-10-13T23:36:38.518Z
oasis-network,Oasis Network,0.201409,32873794.0,302166480.0,2021-10-13T23:35:31.932Z
prometeus,Prometeus,18.21,10986002.0,299909853.0,2021-10-13T23:34:27.737Z
mirror-protocol,Mirror Protocol,2.81,25866663.0,296609311.0,2021-10-13T23:36:08.624Z
sapphire,Sapphire,0.431879,383514.0,296596551.0,2021-10-13T23:32:26.057Z
radicle,Radicle,13.86,26547173.0,291872933.0,2021-10-13T23:36:43.258Z
origin-protocol,Origin Protocol,0.810318,24140299.0,289998376.0,2021-10-13T23:36:46.164Z
superrare,SuperRare,2.04,51805092.0,287426226.0,2021-10-13T23:35:03.305Z
sbtc,sBTC,57625.0,573182.0,283293672.0,2021-10-13T23:30:05.227Z
btc-standard-hashrate-token,BTC Standard Hashrate Token,38.31,65661405.0,279260266.0,2021-10-13T23:36:04.281Z
shiden,Shiden Network,4.88,7602858.0,277884279.0,2021-10-13T23:36:04.192Z
tokemak,Tokemak,53.99,13230404.0,276388528.0,2021-10-13T23:36:42.447Z
bifrost,Bifrost,0.277826,21786404.0,274109537.0,2021-10-13T23:35:46.131Z
mango-markets,Mango Markets,0.270853,1618213.0,272675929.0,2021-10-13T23:35:42.063Z
eden,EDEN,3.19,17192967.0,271516377.0,2021-10-13T23:35:44.597Z
cartesi,Cartesi,0.623535,25467290.0,269536625.0,2021-10-13T23:36:55.177Z
ark,Ark,1.66,4198087.0,266283681.0,2021-10-13T23:35:48.305Z
safepal,SafePal,2.46,1201014697.0,266087417.0,2021-10-13T23:36:44.037Z
dopex,Dopex,1857.54,4793611.0,265623493.0,2021-10-13T23:20:03.003Z
adventure-gold,Adventure Gold,3.44,68083195.0,263941180.0,2021-10-13T23:36:55.375Z
casper-network,Casper Network,0.111336,22780193.0,263922015.0,2021-10-13T23:35:19.332Z
numeraire,Numeraire,45.02,8751528.0,262174968.0,2021-10-13T23:35:54.867Z
maidsafecoin,MaidSafeCoin,0.576255,1240108.0,260964534.0,2021-10-13T23:36:01.334Z
unizen,Unizen,5.95,5318599.0,260346398.0,2021-10-13T23:36:05.046Z
husd,HUSD,1.0,69206425.0,257051358.0,2021-10-13T23:23:12.978Z
marketpeak,PEAKDEFI,0.257472,139378.0,254951217.0,2021-10-13T23:13:25.283Z
synapse-2,Synapse,3.4,12643997.0,251358422.0,2021-10-13T23:24:27.210Z
dawn-protocol,Dawn Protocol,3.45,305806.0,247898602.0,2021-10-13T23:34:56.093Z
frax-share,Frax Share,6.87,9815090.0,245192593.0,2021-10-13T23:35:36.623Z
dero,Dero,22.36,1163000.0,244549586.0,2021-10-13T23:33:30.912Z
steem,Steem,0.619335,2296847.0,242549871.0,2021-10-13T23:35:16.556Z
alchemix-usd,Alchemix USD,1.01,661837.0,241413690.0,2021-10-13T22:32:17.499Z
orion-protocol,Orion Protocol,7.78,9216751.0,241112741.0,2021-10-13T23:36:15.181Z
alien-worlds,Alien Worlds,0.191591,52304208.0,237763577.0,2021-10-13T23:35:34.875Z
nkn,NKN,0.363477,14528799.0,236482989.0,2021-10-13T23:35:53.220Z
stratis,Stratis,2.33,14106562.0,232879573.0,2021-10-13T23:34:59.407Z
proton,Proton,0.02826299,35051647.0,232413919.0,2021-10-13T23:36:03.895Z
quark-chain,QuarkChain,0.03557457,200973926.0,231764496.0,2021-10-13T23:34:55.492Z
balancer,Balancer,21.34,26842905.0,230463304.0,2021-10-13T23:36:19.129Z
keep-network,Keep Network,0.415714,12734150.0,228748692.0,2021-10-13T23:35:22.636Z
telos,Telos,0.947135,1773208.0,228725449.0,2021-10-13T23:35:12.679Z
ice-token,Popsicle Finance,17.49,12169106.0,228563917.0,2021-10-13T23:33:17.980Z
ton-crystal,TON Crystal,0.352258,637234.0,227165470.0,2021-10-13T23:32:02.621Z
ellipsis,Ellipsis,0.539077,23462970.0,226100010.0,2021-10-13T23:36:21.155Z
stp-network,STP Network,0.184157,1504863094.0,224179276.0,2021-10-13T23:35:12.094Z
metal,Metal,3.46,16550387.0,223530571.0,2021-10-13T23:35:43.271Z
flex-coin,FLEX Coin,2.81,217262629.0,221468422.0,2021-10-13T23:30:06.056Z
feg-token,FEG Token,5.261e-09,4642231.0,217855001.0,2021-10-13T23:18:39.742Z
allianceblock,AllianceBlock,0.723318,4066953.0,215522011.0,2021-10-13T23:33:36.317Z
funfair,FUNToken,0.02013973,15905571.0,212572090.0,2021-10-13T23:34:54.787Z
truefi,TrueFi,0.434966,5168967.0,212410392.0,2021-10-13T23:36:15.787Z
anyswap,Anyswap,12.25,12100750.0,211408675.0,2021-10-13T23:36:18.259Z
klever,Klever,0.0386102,1653670.0,211051211.0,2021-10-13T23:35:57.175Z
everipedia,Everipedia,0.02104573,36404066.0,210814746.0,2021-10-13T23:35:47.074Z
beldex,Beldex,0.140124,607413.0,210307334.0,2021-10-13T23:36:16.000Z
auction,Bounce,29.03,18311677.0,207972562.0,2021-10-13T23:34:54.821Z
lido-dao,Lido DAO,3.72,1973696.0,205998561.0,2021-10-13T23:35:35.894Z
alchemy-pay,Alchemy Pay,0.06074,19686708.0,205925741.0,2021-10-13T23:35:37.774Z
rif-token,RSK Infrastructure Framework,0.260576,2426859.0,205240170.0,2021-10-13T23:35:58.300Z
my-neighbor-alice,My Neighbor Alice,11.71,71531836.0,203813818.0,2021-10-13T23:36:09.788Z
playdapp,PlayDapp,0.837797,1756167.0,202097257.0,2021-10-13T23:35:59.021Z
superfarm,SuperFarm,0.697332,18387971.0,200474798.0,2021-10-13T23:36:05.573Z
joe,JOE,1.99,24451377.0,199689139.0,2021-10-13T23:36:02.415Z
origintrail,OriginTrail,0.548845,4640772.0,199074655.0,2021-10-13T23:31:26.513Z
polkastarter,Polkastarter,2.42,85416664.0,196901413.0,2021-10-13T23:36:08.115Z
star-atlas,Star Atlas,0.091085,16816339.0,196739075.0,2021-10-13T23:35:34.848Z
defipulse-index,DeFiPulse Index,326.98,1296588.0,195534111.0,2021-10-13T23:35:45.915Z
tomochain,TomoChain,2.26,7856831.0,195332575.0,2021-10-13T23:35:25.578Z
ufo-gaming,UFO Gaming,7.48e-06,1050933.0,192777856.0,2021-10-13T23:23:31.317Z
storj,Storj,1.34,31246486.0,191882272.0,2021-10-13T23:35:59.441Z
orchid-protocol,Orchid Protocol,0.322905,9276287.0,191134256.0,2021-10-13T23:36:16.067Z
chromaway,Chromia,0.33663,32025004.0,191031136.0,2021-10-13T23:35:42.766Z
melon,Enzyme,130.86,12231271.0,190336971.0,2021-10-13T23:35:48.141Z
metadium,Metadium,0.114591,46143772.0,187674250.0,2021-10-13T23:35:48.445Z
ankreth,Ankr RewardBearing Staked ETH,3600.45,37528.0,187513332.0,2021-10-13T23:12:58.401Z
gemini-dollar,Gemini Dollar,0.99807,7384867.0,187274520.0,2021-10-13T23:35:57.460Z
math,MATH,1.31,2026855.0,186265629.0,2021-10-13T23:35:13.621Z
privateum,Privateum,2.3,155042.0,184128925.0,2021-10-13T23:35:51.641Z
escoin-token,Escoin Token,2.69,206833.0,182042366.0,2021-10-13T23:31:42.410Z
aurora-dao,IDEX,0.306246,27170474.0,181335646.0,2021-10-13T23:35:41.810Z
